Item Catagory,Item Description,Item Name,Sell,image
Building Materials,Block & Beam Flooring,150 x 110 T Beam 4800mm Long,£58.86,
Building Materials,Block & Beam Flooring,150 x 110 T Beam 3600mm Long,£44.09,
Building Materials,Cement & Lime,Breedon General Purpose Cement (Weatherproof),£6.95,
Building Materials,Cement & Lime,Hydralime 25Kg,£11.95,
Building Materials,Tarmac Macadam,Tarmac Macadam 25Kg,£9.95,
Building Materials,Rainwater & Guttering,112mm Half Round Gutter Union Bracket (Black),£2.95,
Building Materials,Rainwater & Guttering,112mm Half Round Gutter Stopend Outlet (Black),£3.95,
Building Materials,Rainwater & Guttering,112mm Half Round Gutter Running Outlet (Black),£3.95,
Building Materials,Rainwater & Guttering,112mm Half Round Gutter Internal Stopend (Black),£1.95,
Building Materials,Rainwater & Guttering,112mm Half Round Gutter Hopper (Black),£12.95,
Building Materials,Rainwater & Guttering,112mm Half Round Gutter External Stopend (Black),£1.95,
Building Materials,Rainwater & Guttering,112mm Half Round Gutter Fascia Bracket (Black),£1.50,
Building Materials,Rainwater & Guttering,112mm Half Round Gutter 90o Angle (Black),£4.95,
Building Materials,Rainwater & Guttering,112mm Half Round Gutter 4Mtrs Length (Black),£13.95,
Building Materials,Rainwater & Guttering,112Mm Half Round Gutter 135o Angle (Black),£4.95,
Building Materials,Rainwater & Guttering,68mm Round Downpipe RND Connector (Black),£2.95,
Building Materials,Rainwater & Guttering,68Mm Round Downpipe Connector (Black),£2.95,
Building Materials,Rainwater & Guttering,68Mm Round Downpipe Clips (Black),£1.50,
Building Materials,Rainwater & Guttering,68Mm Round Downpipe 90o Bend (Black),£3.50,
Building Materials,Rainwater & Guttering,68Mm Round Downpipe 45o Bend (Black),£3.50,
Building Materials,Rainwater & Guttering,68mm Round Downpipe 112.5 Branch (Black),£8.95,
Building Materials,Rainwater & Guttering,68Mm Round Downpipe 4Mtr (Black),£13.95,
Building Materials,Rainwater & Guttering,68Mm Downpipe Shoe (Black),£2.95,
Building Materials,Upvc Fascia & Soffits,300MM Hollow Soffit White 5M (Cladding),£19.95,
Building Materials,Upvc Fascia & Soffits,Flat Fascia Board 5M-300mm,£42.95,
Building Materials,Upvc Fascia & Soffits,Flat Fascia Board 5M-225mm,£32.95,
Building Materials,Upvc Fascia & Soffits,Flat Fascia Board 5M-150mm,£22.95,
Building Materials,Upvc Fascia & Soffits,PVC Fascia Corner,£5.95,
Building Materials,Upvc Fascia & Soffits,PVC Fascia Joiner,£4.95,
Building Materials,Upvc Fascia & Soffits,Lipped Fascia Board 5M-300mm,£42.95,
Building Materials,Upvc Fascia & Soffits,Lipped Fascia Board 5M-225mm,£32.95,
Building Materials,Upvc Fascia & Soffits,Lipped Fascia Board 5M-150mm,£22.95,
Building Materials,Upvc Fascia & Soffits,40Mm X 2.0 White Poly Head Pin,£19.95,
