Item Catagory,Item Description,Item Name,Sell
Building Materials,Bagged Sand (Bulk Bag),Jumbo Granite Dust 0-5mm,55
Building Materials,Bagged Sand (Bulk Bag),Jumbo Bag Type 1 Roadstone,49.95
Building Materials,Bagged Sand (Bulk Bag),Jumbo Bag Soft Sand,44.95
Building Materials,Bagged Sand (Bulk Bag),Jumbo Bag Sharp Washed Sand,44.95
Building Materials,Bagged Sand (Bulk Bag),Jumbo Bag Rendering Sand,55
Building Materials,Bagged Sand (Bulk Bag),Jumbo Bag Ballast,44.95
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag Scottish Beach Pebbles 20-30mm,195
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag Flamingo Chippings 14-20mm,195
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag Charcoal Black Slate 40mm,115
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag Polar White 20mm,195
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag Black Ice 20mm,175
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Plum Slate 40mm,115
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag Cotswold Buff 14-20mm,115
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag 40mm Pea Shingle,60
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag 20mm Pea Shingle,49.95
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag 10mm Pea Shingle,49.95
Building Materials,Top Soil (Bulk Bag),Top Soil (Bulk Bag),60
Building Materials,25Kg Aggregates,25Kg Small 10mm Pea Shingle,2.95
Building Materials,25Kg Aggregates,25Kg Small 20mm Pea Shingle,2.95
Building Materials,25Kg Aggregates,25Kg Small Ballast,2.50
Building Materials,25Kg Aggregates,25Kg Kiln Dried Sand,4.95
Building Materials,25Kg Aggregates,25Kg Small Rendering Sand,2.50
Building Materials,25Kg Aggregates,25Kg Small Sharp Sand,2.50
Building Materials,25Kg Aggregates,25Kg Small Soft Sand,2.50
Building Materials,25Kg Specialised Aggregates,Black Spar - Mitcham Builders Merchants,11.95
Building Materials,25Kg Specialised Aggregates,Canterbury Spar Grade 8,11.95
Building Materials,25Kg Specialised Aggregates,Polar White Spar Grade 8,11.95
Building Materials,25Kg Specialised Aggregates,Perm White Spar (Calcined Flint) Grade 8,11.95
Building Materials,25Kg Specialised Aggregates,Yellow Spade Grade 6,11.95
Building Materials,Aerated Blocks,100mm Thermalite Shield Block 3.6N (120),1.85
Building Materials,Aerated Blocks,140mm Thermalite Shield Block 3.6N (80),2.95
Building Materials,Aerated Blocks,215mm Thermalite Party Wall Block 4.0N (50),3.95
Building Materials,Aerated Blocks,100mm Thermalite Hi-Strength Block 7N (120),2.75
Building Materials,Aerated Blocks,300mm Thermalite T&G Trenchblock Hi-strength 7N,7.95
