Item Catagory,Item Description,Item Name,Sell,image
Building Materials,Bagged Sand (Bulk Bag),Jumbo Granite Dust 0-5mm,£55,https://sahildudhat.com/hyp-images/Jumbo-Granite-Dust-0-5mm_1754479893753_295.jpg
Building Materials,Bagged Sand (Bulk Bag),Jumbo Bag Type 1 Roadstone,£49.95,https://sahildudhat.com/hyp-images/Jumbo-Granite-Dust-0-5mm_1754479893753_295.jpg
Building Materials,Bagged Sand (Bulk Bag),Jumbo Bag Soft Sand,£44.95,https://sahildudhat.com/hyp-images/Jumbo-Granite-Dust-0-5mm_1754479893753_295.jpg
Building Materials,Bagged Sand (Bulk Bag),Jumbo Bag Sharp Washed Sand,£44.95,https://sahildudhat.com/hyp-images/Jumbo-Granite-Dust-0-5mm_1754479893753_295.jpg
Building Materials,Bagged Sand (Bulk Bag),Jumbo Bag Rendering Sand,£55,https://sahildudhat.com/hyp-images/Jumbo-Granite-Dust-0-5mm_1754479893753_295.jpg
Building Materials,Bagged Sand (Bulk Bag),Jumbo Bag Ballast,£44.95,https://sahildudhat.com/hyp-images/Jumbo-Granite-Dust-0-5mm_1754479893753_295.jpg
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag Scottish Beach Pebbles 20-30mm,£195,https://sahildudhat.com/hyp-images/Jumbo-Bag-Scottish-Beach-Pebbles-20-30mm_1754479893901_298.jpg
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag Flamingo Chippings 14-20mm,£195,https://sahildudhat.com/hyp-images/Jumbo-Bag-Scottish-Beach-Pebbles-20-30mm_1754479893901_298.jpg
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag Charcoal Black Slate 40mm,£115,https://sahildudhat.com/hyp-images/Jumbo-Bag-Scottish-Beach-Pebbles-20-30mm_1754479893901_298.jpg
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag Polar White 20mm,£195,https://sahildudhat.com/hyp-images/Jumbo-Bag-Scottish-Beach-Pebbles-20-30mm_1754479893901_298.jpg
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag Black Ice 20mm,£175,https://sahildudhat.com/hyp-images/Jumbo-Bag-Scottish-Beach-Pebbles-20-30mm_1754479893901_298.jpg
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Plum Slate 40mm,£115,https://sahildudhat.com/hyp-images/Jumbo-Bag-Scottish-Beach-Pebbles-20-30mm_1754479893901_298.jpg
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag Cotswold Buff 14-20mm,£115,https://sahildudhat.com/hyp-images/Jumbo-Bag-Scottish-Beach-Pebbles-20-30mm_1754479893901_298.jpg
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag 40mm Pea Shingle,£60,https://sahildudhat.com/hyp-images/Jumbo-Bag-Scottish-Beach-Pebbles-20-30mm_1754479893901_298.jpg
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag 20mm Pea Shingle,£49.95,https://sahildudhat.com/hyp-images/Jumbo-Bag-Scottish-Beach-Pebbles-20-30mm_1754479893901_298.jpg
Building Materials,Decorative Stone & Gravel (Bulk Bag),Jumbo Bag 10mm Pea Shingle,£49.95,https://sahildudhat.com/hyp-images/Jumbo-Bag-Scottish-Beach-Pebbles-20-30mm_1754479893901_298.jpg
Building Materials,Top Soil (Bulk Bag),Top Soil (Bulk Bag),£60,https://sahildudhat.com/hyp-images/Top-Soil--Bulk-Bag-_1754479894037_642.png
Building Materials,25Kg Aggregates,25Kg Small 10mm Pea Shingle,£2.95,https://sahildudhat.com/hyp-images/25Kg-Small-10mm-Pea-Shingle_1754479894205_83.jpg
Building Materials,25Kg Aggregates,25Kg Small 20mm Pea Shingle,£2.95,https://sahildudhat.com/hyp-images/25Kg-Small-10mm-Pea-Shingle_1754479894205_83.jpg
Building Materials,25Kg Aggregates,25Kg Small Ballast,£2.50,https://sahildudhat.com/hyp-images/25Kg-Small-10mm-Pea-Shingle_1754479894205_83.jpg
Building Materials,25Kg Aggregates,25Kg Kiln Dried Sand,£4.95,https://sahildudhat.com/hyp-images/25Kg-Small-10mm-Pea-Shingle_1754479894205_83.jpg
Building Materials,25Kg Aggregates,25Kg Small Rendering Sand,£2.50,https://sahildudhat.com/hyp-images/25Kg-Small-10mm-Pea-Shingle_1754479894205_83.jpg
Building Materials,25Kg Aggregates,25Kg Small Sharp Sand,£2.50,https://sahildudhat.com/hyp-images/25Kg-Small-10mm-Pea-Shingle_1754479894205_83.jpg
Building Materials,25Kg Aggregates,25Kg Small Soft Sand,£2.50,https://sahildudhat.com/hyp-images/25Kg-Small-10mm-Pea-Shingle_1754479894205_83.jpg
Building Materials,25Kg Specialised Aggregates,Black Spar - Mitcham Builders Merchants,£11.95,https://sahildudhat.com/hyp-images/Black-Spar---Mitcham-Builders-Merchants_1754479894329_945.jpg
Building Materials,25Kg Specialised Aggregates,Canterbury Spar Grade 8,£11.95,https://sahildudhat.com/hyp-images/Black-Spar---Mitcham-Builders-Merchants_1754479894329_945.jpg
Building Materials,25Kg Specialised Aggregates,Polar White Spar Grade 8,£11.95,https://sahildudhat.com/hyp-images/Black-Spar---Mitcham-Builders-Merchants_1754479894329_945.jpg
Building Materials,25Kg Specialised Aggregates,Perm White Spar (Calcined Flint) Grade 8,£11.95,https://sahildudhat.com/hyp-images/Black-Spar---Mitcham-Builders-Merchants_1754479894329_945.jpg
Building Materials,25Kg Specialised Aggregates,Yellow Spade Grade 6,£11.95,https://sahildudhat.com/hyp-images/Black-Spar---Mitcham-Builders-Merchants_1754479894329_945.jpg
Building Materials,Aerated Blocks,100mm Thermalite Shield Block 3.6N (120),£1.85,https://sahildudhat.com/hyp-images/100mm-Thermalite-Shield-Block-3-6N--120-_1754479894440_245.jpg
Building Materials,Aerated Blocks,140mm Thermalite Shield Block 3.6N (80),£2.95,https://sahildudhat.com/hyp-images/100mm-Thermalite-Shield-Block-3-6N--120-_1754479894440_245.jpg
Building Materials,Aerated Blocks,215mm Thermalite Party Wall Block 4.0N (50),£3.95,https://sahildudhat.com/hyp-images/100mm-Thermalite-Shield-Block-3-6N--120-_1754479894440_245.jpg
Building Materials,Aerated Blocks,100mm Thermalite Hi-Strength Block 7N (120),£2.75,https://sahildudhat.com/hyp-images/100mm-Thermalite-Shield-Block-3-6N--120-_1754479894440_245.jpg
Building Materials,Aerated Blocks,300mm Thermalite T&G Trenchblock Hi-strength 7N,£7.95,https://sahildudhat.com/hyp-images/100mm-Thermalite-Shield-Block-3-6N--120-_1754479894440_245.jpg
Building Materials,Concrete Blocks,100MM Dense STD Solid Concrete Block 7.3N VOID (66),£1.75,https://sahildudhat.com/hyp-images/100MM-Dense-STD-Solid-Concrete-Block-7-3N-VOID--66-_1754479894568_90.jpg
Building Materials,Concrete Blocks,140MM Dense STD Solid Concrete Block 7.3N (44),£2.45,https://sahildudhat.com/hyp-images/100MM-Dense-STD-Solid-Concrete-Block-7-3N-VOID--66-_1754479894568_90.jpg
Building Materials,Concrete Blocks,215MM Dense STD Hollow Concrete Block 7.3N (38),£3.45,https://sahildudhat.com/hyp-images/100MM-Dense-STD-Solid-Concrete-Block-7-3N-VOID--66-_1754479894568_90.jpg
Building Materials,Concrete Blocks,100MM Medium Dense Solid Block 7.3N (84),£1.95,https://sahildudhat.com/hyp-images/100MM-Dense-STD-Solid-Concrete-Block-7-3N-VOID--66-_1754479894568_90.jpg
Building Materials,Block & Beam Flooring,150 x 110 T Beam 4800mm Long,£58.86,
Building Materials,Block & Beam Flooring,150 x 110 T Beam 3600mm Long,£44.09,
Building Materials,IBSTOCK,Chailey Hamsey Mixed Stock Commons Brick (370),£0.59,https://sahildudhat.com/hyp-images/Chailey-Hamsey-Mixed-Stock-Commons-Brick--370-_1754479894729_623.jpg
Building Materials,IBSTOCK,Parkhouse Marlborough Stock (Offshades) (500),£0.79,https://sahildudhat.com/hyp-images/Chailey-Hamsey-Mixed-Stock-Commons-Brick--370-_1754479894729_623.jpg
Building Materials,IBSTOCK,Leicester Red Stock Brick (Offshades) (500),£0.79,https://sahildudhat.com/hyp-images/Chailey-Hamsey-Mixed-Stock-Commons-Brick--370-_1754479894729_623.jpg
Building Materials,IBSTOCK,Leicester Weathered Red Brick (Non Best) (500),£0.79,https://sahildudhat.com/hyp-images/Chailey-Hamsey-Mixed-Stock-Commons-Brick--370-_1754479894729_623.jpg
Building Materials,IBSTOCK,Ashdown Bexhill Dark Brick - Best Quality (500),£1.25,https://sahildudhat.com/hyp-images/Chailey-Hamsey-Mixed-Stock-Commons-Brick--370-_1754479894729_623.jpg
Building Materials,IBSTOCK,Ashdown Bexhill Purple Brick - Best Quality (500),£1.25,https://sahildudhat.com/hyp-images/Chailey-Hamsey-Mixed-Stock-Commons-Brick--370-_1754479894729_623.jpg
Building Materials,IBSTOCK,Ashdown Cottage Mixture Brick - Best Quality (500),£1.25,https://sahildudhat.com/hyp-images/Chailey-Hamsey-Mixed-Stock-Commons-Brick--370-_1754479894729_623.jpg
Building Materials,Wienerberger,Hurstwood Multi Brick (Non Std) (500),£0.79,https://sahildudhat.com/hyp-images/Hurstwood-Multi-Brick--Non-Std---500-_1754479894846_186.JPG
Building Materials,Wienerberger,Smeed Dean London Stock Brick (500),£1.19,https://sahildudhat.com/hyp-images/Hurstwood-Multi-Brick--Non-Std---500-_1754479894846_186.JPG
Building Materials,Wienerberger,Chartham Multi Stock - Non Std Brick,£0.69,https://sahildudhat.com/hyp-images/Hurstwood-Multi-Brick--Non-Std---500-_1754479894846_186.JPG
Building Materials,Wienerberger,Tabasco Red Multi Brick,£0.79,https://sahildudhat.com/hyp-images/Hurstwood-Multi-Brick--Non-Std---500-_1754479894846_186.JPG
Building Materials,Wienerberger,Tuscan Red Multi Brick,£0.79,https://sahildudhat.com/hyp-images/Hurstwood-Multi-Brick--Non-Std---500-_1754479894846_186.JPG
Building Materials,Wienerberger,Class B Semi Engineering Brick,£0.59,https://sahildudhat.com/hyp-images/Hurstwood-Multi-Brick--Non-Std---500-_1754479894846_186.JPG
Building Materials,Wienerberger,Blue Smooth Perforated Brick,£0.99,https://sahildudhat.com/hyp-images/Hurstwood-Multi-Brick--Non-Std---500-_1754479894846_186.JPG
Building Materials,Wienerberger,Blue Smooth Solid Brick,£1.49,https://sahildudhat.com/hyp-images/Hurstwood-Multi-Brick--Non-Std---500-_1754479894846_186.JPG
Building Materials,Wienerberger,Double Bullnose Solid-Blue Brick,£2.95,https://sahildudhat.com/hyp-images/Hurstwood-Multi-Brick--Non-Std---500-_1754479894846_186.JPG
Building Materials,Wienerberger,Single Bullnose Solid-Blue,£2.95,https://sahildudhat.com/hyp-images/Hurstwood-Multi-Brick--Non-Std---500-_1754479894846_186.JPG
Building Materials,Forterra,Atherstone Red Brick (500),£0.89,https://sahildudhat.com/hyp-images/Atherstone-Red-Brick--500-_1754479894954_794.jpg
Building Materials,Forterra,LBC Tudors Brick (390),£1.35,https://sahildudhat.com/hyp-images/Atherstone-Red-Brick--500-_1754479894954_794.jpg
Building Materials,Forterra,LBC Sandfaced Brick (390),£1.35,https://sahildudhat.com/hyp-images/Atherstone-Red-Brick--500-_1754479894954_794.jpg
Building Materials,Forterra,LBC Rustics Brick (390),£1.45,https://sahildudhat.com/hyp-images/Atherstone-Red-Brick--500-_1754479894954_794.jpg
Building Materials,Forterra,LBC Multi Claydens Brick (390),£1.25,https://sahildudhat.com/hyp-images/Atherstone-Red-Brick--500-_1754479894954_794.jpg
Building Materials,Forterra,LBC Cotswold Brick (390),£1.35,https://sahildudhat.com/hyp-images/Atherstone-Red-Brick--500-_1754479894954_794.jpg
Building Materials,Forterra,LBC Dapple Light Brick (390),£1.45,https://sahildudhat.com/hyp-images/Atherstone-Red-Brick--500-_1754479894954_794.jpg
Building Materials,Forterra,LBC Heather Brick (390),£1.35,https://sahildudhat.com/hyp-images/Atherstone-Red-Brick--500-_1754479894954_794.jpg
Building Materials,Forterra,LBC Commons Brick (390),£1.25,https://sahildudhat.com/hyp-images/Atherstone-Red-Brick--500-_1754479894954_794.jpg
Building Materials,Freshfield Lane,FLB Brick (400),£1.19,https://sahildudhat.com/hyp-images/FLB-Brick--400-_1754479895090_630.jpg
Building Materials,TBS,Verona Multi Brick (730),£0.99,https://sahildudhat.com/hyp-images/Verona-Multi-Brick--730-_1754479895201_557.jpg
Building Materials,Imperial,Imperial Conservation Yellow Stock Brick 68mm (360),£1.35,https://sahildudhat.com/hyp-images/Imperial-Conservation-Yellow-Stock-Brick-68mm--360-_1754479895333_217.jpg
Building Materials,Imperial,Imperial Reclamation Yellow London Stock Brick 68mm (540),£1.95,https://sahildudhat.com/hyp-images/Imperial-Conservation-Yellow-Stock-Brick-68mm--360-_1754479895333_217.jpg
Building Materials,Cement & Lime,Breedon General Purpose Cement (Weatherproof),£6.95,
Building Materials,Cement & Lime,Hydralime 25Kg,£11.95,
Building Materials,Tarmac Macadam,Tarmac Macadam 25Kg,£9.95,
Building Materials,Cement Dye,Can 1Kg Powder Cement Dye-Buff,£7.95,https://sahildudhat.com/hyp-images/Can-1Kg-Powder-Cement-Dye-Buff_1754479895511_679.jpg
