productid,productname,productimages,productdescription,productsku,productminmaxquantity,productpriceselling,productstatus,productinventory,productcategory,productpricecost,productpricecompare,producttax_percent,productlabels,producttags
"","London Brick Company LBC Forterra Heather Facing Brick - Pack of 390","https://dam-assets.apps.travisperkins.group/o8rwylw/GPID_1000194123_IMG_00.jpg","A Facing Brick that has been in use for many years in housing, as the name suggests it is reddish brown multi coloured Facing Brick, faced on one side and both end, a proven product ideal for housing","5690290100","1,25",668.26,"ACTIVE",25,"Building Materials",581.1,"",20
"","London Brick Company LBC Facing Brick Commons - Pack of 390","https://dam-assets.apps.travisperkins.group/v448rn3/GPID_1000194125_IMG_00.jpg","This original London Brick sometimes known as a fletton has been used for over 130 years and is a tried and tested brick, it does not have a decorative face like many bricks but can still be used as a facing brick if required, main uses are more functional, below DPC, non visible walls, garden use, outbuildings etc.","9657258240","1,2",623.41,"ACTIVE",2,"Building Materials",542.1,"",20
"","Forterra Facing Brick Hampton Rural Blend - Pack of 495","https://dam-assets.apps.travisperkins.group/x218mdd/GPID_1000022802_IMG_00.jpg","The Forterra Ecostock range is the most environmentally friendly stock Facing Brick range in the UK. The cutting edge technology reduces energy consumption by up to 50% in the manufacturing process The Facing Brick has a pleasing red multi colour finish.","8952220332","1,22",626.17,"ACTIVE",22,"Building Materials",544.5,"",20
"","Ibstock Brick Glenfield Red Stock 65mm Facing Brick - Pack Of 500","https://dam-assets.apps.travisperkins.group/oe0wemd/GPID_1100478050_IMG_00.jpg","This plain red stock brick is exclusive to Buildgo, made at the new Leicester Eclipse Factory. A red stock facing brick; Fully durable with low soluble salts. This is a moderate strength facing brick with high water absorption, ideal for most masonry applications and easy to lay.","6263288564","1,19",603.75,"ACTIVE",19,"Building Materials",525,"",20
"","Wienerberger Facing Brick Thames Yellow - Pack of 500","https://dam-assets.apps.travisperkins.group/oe0we0d/GPID_1000133998_IMG_00.jpg","The Original London Yellow Stock Facing Brick, complete with town ash spotting associated with the original clay materials. Traditionally manufactured in Smeed Dean Facing Brickworks alongside the River Thames for over 120 years","7442460868","1,11",1414.50,"ACTIVE",11,"Building Materials",1230,"",20
"","Wienerberger Facing Brick Staffordshire Smooth Blue (Perforated) - Pack of 400","https://dam-assets.apps.travisperkins.group/o35nr5g/GPID_1000327679_IMG_00.jpg","A blue facing brick, selected for its aesthetic appearance.","9650002656","1,19",791.20,"ACTIVE",19,"Building Materials",688,"",20
"","Forterra Facing Brick Atherstone Red Stock - Pack of 495","https://dam-assets.apps.travisperkins.group/x218r17/GPID_1000265861_IMG_00.jpg","A popular red stock type Facing Brick with a light textured face on all sides so ideal for single skin walls where the face is visible both sides","4288872243","1,4",785.57,"ACTIVE",4,"Building Materials",683.1,"",20
"","Imperial Reclamation Yellow Stock Handmade Facing Brick 68mm- Pack of 560","https://dam-assets.apps.travisperkins.group/v6wdrdd/GPID_1000552363_IMG_00.jpg","A high quality yellow handmade Facing Brick with a reclamation finish, to give the reclaimed brick effect. In a traditional imperial size, these bricks undergo an extensive ageing process to give an identical appearance to genuine reclaimed bricks handmade yellow stock Facing Brick, but offer a high quality, fully frost resistant alternative. Ideal for matching existing Facing Brickwork for renovation or extension, as well as new build.","1445196971","1,12",1584.24,"ACTIVE",12,"Building Materials",1377.6,"",20
"","Premier Reclaimed Bricks Facing Brick Yellow Stocks - Pack of 500","https://dam-assets.apps.travisperkins.group/o8rwy2j/GPID_1000133921_IMG_00.jpeg","A yellow based reclaimed Facing Brick, often used in the London area. This brick is reclaimed so the product is sold as seen, and the colours may vary.","6439894098","1,11",1914.75,"ACTIVE",11,"Building Materials",1665,"",20
"","Solid Dense 7.3N Concrete Block Grey 100mm","https://dam-assets.apps.travisperkins.group/KOm4J/GPID_1000194641_IMG_00.jpg","This solid, dense concrete block from Aggregate Industries is suitable for cavity or solid wall constructions, internal load bearing walls and beam and block flooring. Water resistant with sound insulation properties.","9162188939","1,2051",2.08,"ACTIVE",2051,"Building Materials",1.81,"",20
